[FPS] 10.4ms | 96.2fps
Workout.vue:451 [FPS] 14.5ms | 69.0fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 34.0ms | 29.4fps
Workout.vue:451 [FPS] 7.2ms | 138.9fps
Workout.vue:451 [FPS] 7.8ms | 128.2fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 22.2ms | 45.0fps
Workout.vue:451 [FPS] 12.0ms | 83.3fps
Workout.vue:451 [FPS] 18.5ms | 54.1fps
Workout.vue:451 [FPS] 12.9ms | 77.5fps
Workout.vue:451 [FPS] 21.0ms | 47.6fps
Workout.vue:451 [FPS] 13.0ms | 76.9fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 21.1ms | 47.4fps
Workout.vue:451 [FPS] 12.7ms | 78.7fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 19.6ms | 51.0fps
Workout.vue:451 [FPS] 13.3ms | 75.2fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 17.8ms | 56.2fps
Workout.vue:451 [FPS] 21.5ms | 46.5fps
Workout.vue:451 [FPS] 11.1ms | 90.1fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
Workout.vue:451 [FPS] 20.6ms | 48.5fps
Workout.vue:451 [FPS] 12.7ms | 78.7fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 20.8ms | 48.1fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 12.1ms | 82.6fps
Workout.vue:451 [FPS] 18.0ms | 55.6fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 26.3ms | 38.0fps
Workout.vue:451 [FPS] 6.8ms | 147.1fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 18.1ms | 55.2fps
Workout.vue:451 [FPS] 14.8ms | 67.6fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 17.7ms | 56.5fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 19.9ms | 50.3fps
Workout.vue:451 [FPS] 12.6ms | 79.4fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 21.3ms | 46.9fps
Workout.vue:451 [FPS] 12.1ms | 82.6fps
Workout.vue:451 [FPS] 17.3ms | 57.8fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 17.5ms | 57.1fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 17.3ms | 57.8fps
Workout.vue:451 [FPS] 20.2ms | 49.5fps
Workout.vue:451 [FPS] 12.1ms | 82.6fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 20.2ms | 49.5fps
Workout.vue:451 [FPS] 12.7ms | 78.7fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 17.3ms | 57.8fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 18.0ms | 55.6fps
Workout.vue:451 [FPS] 15.4ms | 64.9fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 17.6ms | 56.8fps
Workout.vue:451 [FPS] 15.9ms | 62.9fps
Workout.vue:451 [FPS] 20.7ms | 48.3fps
Workout.vue:451 [FPS] 13.2ms | 75.8fps
Workout.vue:451 [FPS] 15.9ms | 62.9fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 17.3ms | 57.8fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 17.8ms | 56.2fps
Workout.vue:451 [FPS] 15.2ms | 65.8fps
Workout.vue:451 [FPS] 18.1ms | 55.2fps
Workout.vue:451 [FPS] 14.8ms | 67.6fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 22.8ms | 43.9fps
Workout.vue:451 [FPS] 10.2ms | 98.0fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 17.5ms | 57.1fps
Workout.vue:451 [FPS] 20.3ms | 49.3fps
Workout.vue:451 [FPS] 12.5ms | 80.0fps
Workout.vue:451 [FPS] 17.9ms | 55.9fps
Workout.vue:451 [FPS] 19.5ms | 51.3fps
Workout.vue:451 [FPS] 12.7ms | 78.7fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
2Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 21.0ms | 47.6fps
Workout.vue:451 [FPS] 13.5ms | 74.1fps
Workout.vue:451 [FPS] 15.1ms | 66.2fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
2Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 15.6ms | 64.1fps
Workout.vue:451 [FPS] 17.6ms | 56.8fps
Workout.vue:451 [FPS] 20.9ms | 47.8fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 13.3ms | 75.2fps
Workout.vue:451 [FPS] 19.8ms | 50.5fps
Workout.vue:451 [FPS] 14.0ms | 71.4fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 17.6ms | 56.8fps
Workout.vue:451 [FPS] 20.0ms | 50.0fps
Workout.vue:451 [FPS] 12.5ms | 80.0fps
Workout.vue:451 [FPS] 17.9ms | 55.9fps
Workout.vue:451 [FPS] 15.5ms | 64.5fps
Workout.vue:451 [FPS] 20.7ms | 48.3fps
Workout.vue:451 [FPS] 13.3ms | 75.2fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 19.8ms | 50.5fps
Workout.vue:451 [FPS] 14.0ms | 71.4fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 19.8ms | 50.5fps
Workout.vue:451 [FPS] 13.8ms | 72.5fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 15.3ms | 65.4fps
Workout.vue:451 [FPS] 20.7ms | 48.3fps
Workout.vue:451 [FPS] 12.0ms | 83.3fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
