[FPS] 7.1ms | 140.8fps
Workout.vue:451 [FPS] 13.3ms | 75.2fps
Workout.vue:451 [FPS] 15.7ms | 63.7fps
Workout.vue:451 [FPS] 18.6ms | 53.8fps
Workout.vue:451 [FPS] 15.4ms | 64.9fps
Workout.vue:451 [FPS] 21.1ms | 47.4fps
Workout.vue:451 [FPS] 13.8ms | 72.5fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
Workout.vue:451 [FPS] 21.3ms | 46.9fps
Workout.vue:451 [FPS] 11.8ms | 84.7fps
Workout.vue:451 [FPS] 25.9ms | 38.6fps
Workout.vue:451 [FPS] 7.3ms | 137.0fps
Workout.vue:451 [FPS] 20.5ms | 48.8fps
Workout.vue:451 [FPS] 12.5ms | 80.0fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 25.7ms | 38.9fps
Workout.vue:451 [FPS] 11.8ms | 84.7fps
Workout.vue:451 [FPS] 12.4ms | 80.6fps
Workout.vue:451 [FPS] 20.5ms | 48.8fps
Workout.vue:451 [FPS] 11.1ms | 90.1fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 24.7ms | 40.5fps
Workout.vue:451 [FPS] 10.0ms | 100.0fps
Workout.vue:451 [FPS] 28.2ms | 35.5fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 8.7ms | 114.9fps
Workout.vue:451 [FPS] 14.3ms | 69.9fps
Workout.vue:451 [FPS] 18.0ms | 55.6fps
Workout.vue:451 [FPS] 14.8ms | 67.6fps
2Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 26.1ms | 38.3fps
Workout.vue:451 [FPS] 15.2ms | 65.8fps
Workout.vue:451 [FPS] 8.0ms | 125.0fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
Workout.vue:451 [FPS] 27.8ms | 36.0fps
Workout.vue:451 [FPS] 6.5ms | 153.8fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 17.9ms | 55.9fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 20.1ms | 49.8fps
Workout.vue:451 [FPS] 13.3ms | 75.2fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 15.4ms | 64.9fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 20.2ms | 49.5fps
Workout.vue:451 [FPS] 12.4ms | 80.6fps
Workout.vue:451 [FPS] 22.9ms | 43.7fps
Workout.vue:451 [FPS] 14.1ms | 70.9fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 14.8ms | 67.6fps
Workout.vue:451 [FPS] 18.7ms | 53.5fps
Workout.vue:451 [FPS] 13.7ms | 73.0fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 19.6ms | 51.0fps
Workout.vue:451 [FPS] 13.4ms | 74.6fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 19.0ms | 52.6fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
