[FPS] 9.9ms | 101.0fps
Workout.vue:451 [FPS] 15.5ms | 64.5fps
Workout.vue:451 [FPS] 18.0ms | 55.6fps
Workout.vue:451 [FPS] 15.7ms | 63.7fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 24.3ms | 41.2fps
Workout.vue:451 [FPS] 8.8ms | 113.6fps
Workout.vue:451 [FPS] 17.3ms | 57.8fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 19.9ms | 50.3fps
Workout.vue:451 [FPS] 13.3ms | 75.2fps
Workout.vue:451 [FPS] 18.8ms | 53.2fps
Workout.vue:451 [FPS] 14.4ms | 69.4fps
Workout.vue:451 [FPS] 18.7ms | 53.5fps
Workout.vue:451 [FPS] 15.2ms | 65.8fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 18.3ms | 54.6fps
Workout.vue:451 [FPS] 14.8ms | 67.6fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 17.9ms | 55.9fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
2Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 17.3ms | 57.8fps
Workout.vue:451 [FPS] 15.6ms | 64.1fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 17.5ms | 57.1fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 17.5ms | 57.1fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 15.9ms | 62.9fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 19.9ms | 50.3fps
Workout.vue:451 [FPS] 13.8ms | 72.5fps
Workout.vue:451 [FPS] 15.8ms | 63.3fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 21.2ms | 47.2fps
Workout.vue:451 [FPS] 13.6ms | 73.5fps
Workout.vue:451 [FPS] 16.0ms | 62.5fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 15.6ms | 64.1fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.1ms | 62.1fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 17.0ms | 58.8fps
Workout.vue:451 [FPS] 17.2ms | 58.1fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 21.6ms | 46.3fps
Workout.vue:451 [FPS] 12.2ms | 82.0fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 17.1ms | 58.5fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 19.3ms | 51.8fps
Workout.vue:451 [FPS] 14.2ms | 70.4fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 17.5ms | 57.1fps
Workout.vue:451 [FPS] 15.5ms | 64.5fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 21.8ms | 45.9fps
Workout.vue:451 [FPS] 12.9ms | 77.5fps
Workout.vue:451 [FPS] 14.8ms | 67.6fps
Workout.vue:451 [FPS] 17.3ms | 57.8fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 16.9ms | 59.2fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
Workout.vue:451 [FPS] 16.7ms | 59.9fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 20.8ms | 48.1fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 13.0ms | 76.9fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 17.9ms | 55.9fps
Workout.vue:451 [FPS] 15.7ms | 63.7fps
Workout.vue:451 [FPS] 17.7ms | 56.5fps
Workout.vue:451 [FPS] 16.2ms | 61.7fps
Workout.vue:451 [FPS] 21.1ms | 47.4fps
Workout.vue:451 [FPS] 11.7ms | 85.5fps
Workout.vue:451 [FPS] 16.8ms | 59.5fps
Workout.vue:451 [FPS] 16.3ms | 61.3fps
Workout.vue:451 [FPS] 24.6ms | 40.7fps
Workout.vue:451 [FPS] 9.1ms | 109.9fps
Workout.vue:451 [FPS] 24.3ms | 41.2fps
Workout.vue:451 [FPS] 10.7ms | 93.5fps
Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 15.6ms | 64.1fps
Workout.vue:451 [FPS] 17.4ms | 57.5fps
Workout.vue:451 [FPS] 16.1ms | 62.1fps
Workout.vue:451 [FPS] 17.5ms | 57.1fps
Workout.vue:451 [FPS] 20.0ms | 50.0fps
Workout.vue:451 [FPS] 12.6ms | 79.4fps
Workout.vue:451 [FPS] 16.5ms | 60.6fps
Workout.vue:451 [FPS] 17.8ms | 56.2fps
2Workout.vue:451 [FPS] 16.6ms | 60.2fps
Workout.vue:451 [FPS] 16.1ms | 62.1fps
Workout.vue:451 [FPS] 17.5ms | 57.1fps
Workout.vue:451 [FPS] 15.4ms | 64.9fps
Workout.vue:451 [FPS] 24.6ms | 40.7fps
Workout.vue:451 [FPS] 10.7ms | 93.5fps
Workout.vue:451 [FPS] 19.9ms | 50.3fps
Workout.vue:451 [FPS] 12.0ms | 83.3fps
Workout.vue:451 [FPS] 16.4ms | 61.0fps
